query,k,ndcg_original,ndcg_generated,delta
NYC taxi trip data,5,1.0,1.0,0.0
NYC taxi trip data,10,1.0,1.0,0.0
weather wind speed dataset,5,1.0,1.0,0.0
weather wind speed dataset,10,0.9818,1.0,0.0182
housing property values,5,1.0,1.0,0.0
housing property values,10,1.0,1.0,0.0
crime incident reports,5,0.9469,1.0,0.0531
crime incident reports,10,0.9103,0.9896,0.0793
public health disease data,5,1.0,1.0,0.0
public health disease data,10,1.0,1.0,0.0
school education enrollment,5,1.0,1.0,0.0
school education enrollment,10,1.0,1.0,0.0
traffic collision accidents,5,1.0,1.0,0.0
traffic collision accidents,10,1.0,1.0,0.0
restaurant food inspection,5,1.0,1.0,0.0
restaurant food inspection,10,1.0,1.0,0.0
